Reward,Time,Success,Failure_Reason
11.236208133820284,471,1.0,None
9.536713963510715,421,1.0,None
6.932005022031614,349,1.0,None
10.358347633902737,397,1.0,None
8.545853427988655,373,1.0,None
10.236970302542717,475,1.0,None
5.626915539519964,261,1.0,None
4.12321238474256,269,1.0,None
5.855099072154378,352,1.0,None
10.780941017165986,421,1.0,None
9.710560185245335,317,1.0,None
11.987400841121898,429,1.0,None
9.02187227229884,475,1.0,None
8.847671176298798,412,1.0,None
5.087096305964634,310,1.0,None
10.770110356795753,434,1.0,None
8.756106083626953,437,1.0,None
6.967798778972864,302,1.0,None
6.244278771364244,281,1.0,None
7.772620751676032,396,1.0,None
11.055931278802385,429,1.0,None
11.76867592307949,398,1.0,None
14.365911067327799,406,1.0,None
14.533770200513203,558,1.0,None
9.126409787230804,437,1.0,None
3.0061672284630743,189,1.0,None
12.566417459584915,484,1.0,None
12.334018308503808,422,1.0,None
12.268190775788733,400,1.0,None
7.006467224187397,268,1.0,None
4.4056276842257365,194,1.0,None
9.193767869990868,377,1.0,None
11.079324130031859,548,1.0,None
11.943384449933994,492,1.0,None
9.653316119178733,381,1.0,None
4.846105637422616,219,1.0,None
10.133618672956459,419,1.0,None
9.249852009376207,386,1.0,None
16.552147759138833,611,1.0,None
7.376432785723047,392,1.0,None
11.790767445712342,436,1.0,None
10.132223384754244,402,1.0,None
11.50150788586989,570,1.0,None
11.3877540046151,458,1.0,None
13.233660967490112,533,1.0,None
13.134393593787522,573,1.0,None
9.692672471553738,405,1.0,None
7.9447224853210905,389,1.0,None
9.081794219700935,376,1.0,None
10.808100022019842,475,1.0,None
6.191535925364571,252,1.0,None
10.104502773406747,377,1.0,None
6.785102678276344,284,1.0,None
8.205132856623546,334,1.0,None
7.649906510167105,321,1.0,None
8.149845786317247,493,1.0,None
9.791411284013227,455,1.0,None
8.221562278392442,396,1.0,None
5.343214554952427,254,1.0,None
7.400080230164584,414,1.0,None
7.912360671088539,321,1.0,None
9.601366340749108,378,1.0,None
9.229198995607794,376,1.0,None
8.309387492234533,336,1.0,None
11.105282823693857,380,1.0,None
8.245052697475577,404,1.0,None
14.458586139479632,484,1.0,None
7.518030305883308,340,1.0,None
4.0149290964292375,205,1.0,None
11.037906139108399,434,1.0,None
8.11651856978261,402,1.0,None
7.472541578754048,290,1.0,None
3.382455758250975,205,1.0,None
10.75984792686613,428,1.0,None
-2.201317738384155,2,0.0,Collision
6.580854656301698,296,1.0,None
10.43369776305554,371,1.0,None
12.89630667591845,499,1.0,None
5.294431368810787,324,1.0,None
8.07834219068944,304,1.0,None
7.777977399067839,318,1.0,None
9.081629999373181,318,1.0,None
14.67470531245644,519,1.0,None
8.280508728508632,324,1.0,None
14.926259501719205,599,1.0,None
8.701062391810627,379,1.0,None
9.030972162188307,372,1.0,None
7.206698472497573,415,1.0,None
12.095366659812587,409,1.0,None
5.654340312712199,250,1.0,None
11.931856600303181,483,1.0,None
7.963433594235709,353,1.0,None
8.219030158816361,325,1.0,None
11.435102507382581,493,1.0,None
6.144426164731056,251,1.0,None
10.143212333776331,382,1.0,None
8.084904652727516,283,1.0,None
17.684038913689047,665,1.0,None
13.771382820184789,606,1.0,None
10.376002030396036,451,1.0,None
10.565789346164042,384,1.0,None
10.280464192111744,386,1.0,None
4.976927081271828,182,1.0,None
12.122959633414727,417,1.0,None
13.558660717547232,489,1.0,None
6.274555398450936,335,1.0,None
8.542360190310745,395,1.0,None
7.681248188547148,368,1.0,None
5.050358660053397,260,1.0,None
8.317222216746098,359,1.0,None
11.211318086029257,505,1.0,None
6.619377315424218,286,1.0,None
10.200056007022283,412,1.0,None
10.046368148624849,416,1.0,None
9.263574764960737,411,1.0,None
7.303084261418917,300,1.0,None
3.8221656950754825,213,1.0,None
11.228698308657819,393,1.0,None
6.2394891160378245,282,1.0,None
3.626146816810439,217,1.0,None
8.39747607585937,442,1.0,None
10.867683759531246,442,1.0,None
11.883472696540869,415,1.0,None
7.2389276105557165,418,1.0,None
8.047002350311342,342,1.0,None
11.537974416194555,513,1.0,None
10.205157196042649,443,1.0,None
10.613922782680504,412,1.0,None
7.620915249029757,385,1.0,None
9.628581194205474,412,1.0,None
13.376672792986733,435,1.0,None
9.968320477492632,366,1.0,None
12.757677126410158,537,1.0,None
5.772216411985335,253,1.0,None
7.57653379746314,319,1.0,None
12.05147178503118,486,1.0,None
9.694635681692056,446,1.0,None
8.08553576818109,411,1.0,None
14.757608262680659,671,1.0,None
5.97207010169121,336,1.0,None
11.072206886739421,391,1.0,None
6.881390676578768,412,1.0,None
5.765519252207796,284,1.0,None
10.237409874208478,404,1.0,None
6.441604205824159,420,1.0,None
5.085623071311497,263,1.0,None
7.221641162101368,325,1.0,None
9.47341083147241,391,1.0,None
9.830961288837447,370,1.0,None
11.986783283472498,437,1.0,None
12.311491384487088,549,1.0,None
12.975204402637372,601,1.0,None
10.562891397295465,391,1.0,None
12.110375028265505,441,1.0,None
6.280435727845754,338,1.0,None
11.000190196183274,467,1.0,None
10.261247085591023,387,1.0,None
2.107241395291638,128,1.0,None
8.86373015488451,390,1.0,None
12.690660013708014,475,1.0,None
10.748582005228343,403,1.0,None
12.319246124666927,501,1.0,None
10.9228659784591,405,1.0,None
3.68900199399763,204,1.0,None
7.210349703630327,257,1.0,None
8.20164324054912,349,1.0,None
11.199783333042562,411,1.0,None
8.968032170932004,425,1.0,None
13.106967098573906,499,1.0,None
11.848866853736872,427,1.0,None
10.296054040687594,415,1.0,None
